rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.373251191775004,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,4.315849979718526,6.617750016,1.5160831212997437,4.55435137131404
64,128,14745600,4.15138490597407,7.998511616,1.476814866065979,4.378975820309134
